ACCTNO,ACCTDESC,CUSTNUMBER,CUSTNAME,INTRATE,LIMIT,DP,LMTEXPDT,ACCTBAL,UNCLRBAL,IRREGAMT,NEWIRAC,OLDIRAC,SANC_RENDT,ARRCOND,CURRENCY,MAINTBR,IRRGDT,UNREALINT,ACCRINT,STRESS,SMA_CODE,RA,RA_DATE,WRITE_OFF_FLAG,WRITE_OFF_AMT,WRITE_OFF_DATE,NULL2,Column1,_1
30786579303,Eectronic Dealer Fin.Sch,80126855092,Emma Bose SOLUTIONS,0.0,83197857,83197857,00/00/0000,-47055598.72,0,0.0,0,0,27/03/2021,0,INR,10678,22/11/2020,0.0,0.0,,,6,00/00/0000,N,0,00/00/0000,,,
30506448196,Eectronic Dealer Fin.Sch,80692749116,Michael Lewis TECH,0.0,98753260,98753260,15/08/2021,-108502419.3,0,0.0,4,4,04/10/2023,738,INR,10678,16/12/2020,0.0,61290.09,N,SMA1,,2020-03-06,N,0,00/00/0000,,,
30709004943,EB-MSME-CC-e-DFS,80328306011,Ananya Thakur LTD,0.0,85345555,85345555,09/03/2024,96310412.1,0,187378.26,0,0,29/10/2024,0,INR,10678,14/05/2022,0.0,0.0,N,NPA,2,2023-01-04,N,0,00/00/0000,,,
30415143362,MSME-OD-SECURED,80269820594,Meera Sharma TRADERS,11.89,78139880,0,17/11/2024,-85107499.31,0,84891.24,1,1,02/01/2020,0,INR,11832,04/12/2024,0.0,0.0,,SMA1,2,2022-12-26,N,0,00/00/0000,,,
30690347116,EB-MSME-CC-USUAL CREDIT D,80384602384,Swati Chopra SYSTEMS,11.02,51837852,51837852,07/10/2023,41816043.12,0,0.0,0,0,27/03/2021,0,INR,0,00/00/0000,0.0,0.0,N,SMA1,,2022-08-26,N,0,00/00/0000,,,
30562837684,EB-MSME-CC-e-DFS,80554814084,Nikhil Bhatia PVT. LTD,10.69,23209423,23209423,31/01/2024,-25603957.17,0,0.0,0,0,25/11/2024,0,INR,0,28/08/2023,85242.48,186009.73,,N,4,00/00/0000,N,0,00/00/0000,,,0.0
30384759615,MSME-OD-SECURED,80406284028,Swati Ghosh INDUSTRIES,0.0,17849494,17849494,00/00/0000,-12843128.02,0,0.0,5,0,13/06/2020,0,INR,10678,26/04/2021,0.0,0.0,,SMA2,6,2021-02-22,N,0,00/00/0000,,,
30240529481,EB-MSME-CC-e-DFS,80590941149,William Gupta LLP,9.83,23419256,23419256,12/03/2021,13881052.03,0,441623.45,0,0,11/12/2023,0,INR,0,31/07/2024,0.0,0.0,N,SMA1,,00/00/0000,N,0,00/00/0000,,,
30383450553,CC-AUTO FINANCE,80624557080,James Kumar AUTOMOBILES,10.54,15917225,15917225,00/00/0000,-18875577.64,0,0.0,0,0,13/12/2024,0,INR,0,30/10/2020,0.0,187286.72,,,4,2021-12-25,N,0,00/00/0000,,,
30766430218,EB-MSME-CC-USUAL CREDIT D,80354194771,Sanjay Rao CO,8.1,54585178,54585178,23/04/2022,-60308151.15,0,140734.8,0,5,31/03/2021,704,INR,0,07/08/2024,0.0,0.0,N,NPA,,2022-11-09,N,0,00/00/0000,,STD,
30129635852,Eectronic Dealer Fin.Sch,80380477683,Riya Smith PVT. LTD,8.43,52101056,52101056,00/00/0000,-58856130.52,0,134814.03,0,0,13/01/2024,0,INR,11146,28/02/2025,38252.41,0.0,,N,7,00/00/0000,N,0,00/00/0000,,,0.0
30827264603,EB-MSME-CC-USUAL CREDIT D,80760904107,Sophia Thakur SYSTEMS,11.33,38210242,38210242,02/04/2023,27724375.74,0,0.0,0,6,13/12/2020,0,INR,0,LMT NOT SET,37937.75,0.0,Y,N,,2024-12-19,N,0,00/00/0000,,,
30630833445,MSME-OD-SECURED,80361976301,Neha Sharma EQUIPMENT AN,0.0,79519112,79519112,LMT NOT SET,86980823.11,0,0.0,1,1,26/03/2024,0,INR,0,31/01/2025,0.0,0.0,,N,,00/00/0000,N,0,00/00/0000,,,
30391751878,EB-MSME-CC-e-DFS,80443285529,Sneha Nair INDUSTRIES,8.93,38716269,38716269,14/04/2022,-31985329.96,0,0.0,6,1,20/10/2024,0,INR,10096,03/09/2021,86810.32,0.0,N,SMA1,,00/00/0000,N,0,00/00/0000,,,
